epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,402.637,1.26987,1.18423,1.33704,0.78015,0.70718,0.76723,0.47171,1.29091,1.10722,1.23854,0.00998188,0.00332729,0.00998188,0.00332729,0.00998188,0.00332729,0.00998188,0.00332729
2,771.169,1.31896,1.25556,1.37576,0.69793,0.57528,0.62434,0.3573,1.48175,1.56443,1.41644,0.0194873,0.00649578,0.0194873,0.00649578,0.0194873,0.00649578,0.0194873,0.00649578
3,1126.52,1.43921,1.46443,1.46774,0.64758,0.48891,0.52771,0.27637,1.59675,1.76076,1.55877,0.0284978,0.00949926,0.0284978,0.00949926,0.0284978,0.00949926,0.0284978,0.00949926
4,1481.74,1.48515,1.56074,1.52067,0.66395,0.53968,0.59505,0.32228,1.52722,1.78376,1.47155,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,1836.11,1.40674,1.43561,1.47,0.7643,0.64309,0.71587,0.43494,1.41629,1.29084,1.39737,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,2190.32,1.35936,1.34862,1.42929,0.78953,0.67802,0.76762,0.48427,1.28558,1.13563,1.29204,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,2544.69,1.31754,1.2778,1.40002,0.78373,0.71099,0.78601,0.50501,1.26535,1.07844,1.26676,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,2899.73,1.28433,1.2162,1.37143,0.82214,0.73749,0.81467,0.53287,1.2284,1.01033,1.23922,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,3253.97,1.26041,1.17588,1.35094,0.83711,0.73781,0.81924,0.5423,1.20105,0.97397,1.22456,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,3608.46,1.23738,1.14216,1.33675,0.83112,0.75309,0.83154,0.55559,1.17084,0.941,1.19364,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,3963.11,1.2196,1.10247,1.31982,0.84364,0.7838,0.84867,0.57811,1.16116,0.93185,1.18161,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,4317.9,1.20186,1.0817,1.30711,0.86317,0.77184,0.85251,0.58313,1.12802,0.89605,1.16166,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
13,4672,1.18615,1.0614,1.29835,0.85416,0.78081,0.85619,0.59192,1.11733,0.87054,1.14663,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
14,5026.29,1.17395,1.04123,1.29047,0.84683,0.79559,0.86103,0.59918,1.10728,0.88001,1.14537,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
15,5379.89,1.16137,1.01951,1.28037,0.87134,0.79296,0.87018,0.6049,1.09699,0.84399,1.13893,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
16,5734.03,1.14468,0.99889,1.26788,0.86694,0.79311,0.87652,0.62104,1.07278,0.81602,1.12309,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
17,6087.41,1.13327,0.98364,1.26059,0.87219,0.80357,0.87898,0.62501,1.05646,0.79094,1.10531,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
18,6441.35,1.12127,0.96573,1.25173,0.87168,0.8148,0.88301,0.62689,1.0537,0.77426,1.09893,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
19,6795.59,1.11024,0.9497,1.24391,0.87007,0.81325,0.88397,0.63474,1.04727,0.76661,1.09747,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
20,7149.36,1.10444,0.93503,1.24059,0.88098,0.81731,0.88948,0.64247,1.03493,0.75481,1.09256,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
21,7502.93,1.09828,0.92258,1.23138,0.87848,0.82417,0.89262,0.64435,1.03441,0.73199,1.08764,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
22,7856.67,1.07972,0.90106,1.21883,0.8812,0.82739,0.89422,0.64845,1.01859,0.73112,1.08005,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
23,8210.6,1.06932,0.88584,1.217,0.8771,0.83574,0.89868,0.65638,1.00651,0.715,1.06743,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
24,8564.54,1.06218,0.87825,1.20949,0.86495,0.84444,0.89912,0.6571,1.01131,0.71622,1.07173,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
25,8917.95,1.04987,0.85917,1.20067,0.86556,0.84636,0.90112,0.66282,0.99918,0.70055,1.06372,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
26,9271.39,1.04231,0.85288,1.19898,0.88414,0.84051,0.90405,0.66502,0.99236,0.69106,1.05902,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
27,9625.32,1.02857,0.83921,1.19021,0.87506,0.8475,0.9059,0.66689,0.98627,0.68523,1.0553,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
28,9979.11,1.02272,0.821,1.18577,0.88183,0.84573,0.90756,0.67174,0.98415,0.67984,1.05115,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
29,10332.7,1.00364,0.81016,1.17422,0.87989,0.84948,0.90888,0.6746,0.97337,0.66557,1.04748,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
30,10686.8,0.99665,0.79586,1.17321,0.88096,0.85002,0.90992,0.67705,0.97095,0.66255,1.04547,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
31,11039.8,0.97237,0.68507,1.1568,0.8904,0.85048,0.9119,0.68129,0.96009,0.65516,1.03867,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,11391.6,0.9496,0.66062,1.14675,0.89099,0.85175,0.91307,0.68399,0.95555,0.65226,1.03548,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,11743.1,0.9332,0.6446,1.13378,0.89087,0.85784,0.91548,0.68655,0.95221,0.64465,1.03277,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,12094.6,0.92289,0.62594,1.12503,0.8915,0.85675,0.91667,0.68833,0.94813,0.6388,1.02882,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,12445.6,0.90535,0.61411,1.11641,0.89104,0.85864,0.9163,0.68789,0.94673,0.6331,1.03259,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,12797.4,0.89266,0.59465,1.10783,0.89266,0.85994,0.91616,0.68895,0.94388,0.62953,1.02981,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
37,13148.7,0.87923,0.58439,1.10241,0.89763,0.85795,0.91685,0.69034,0.93969,0.62383,1.02731,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
